仕事,会社名,url,場所,給料形態,金額,契約形態,掲載元,掲載日,結果通知期限,電話番号
リハビリスタッフ,医療法人社団茂恵会　半蔵門病院,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E8%8C%82%E6%81%B5%E4%BC%9A%E3%80%80%E5%8D%8A%E8%94%B5%E9%96%80%E7%97%85%E9%99%A2%E3%81%A7%E3%81%AE%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%89-%2013010-17001721/,東京都千代田区麹町１－１０,時給,2200円-3000円,パート労働者,ハローワーク飯田橋,2月10日,,03-3239-3355
（Ｒｅａｃｔ）ネットスーパーサービス更改,フィット産業株式会社,https://www.hellowork.careers/%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%E7%94%A3%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%EF%BC%88%EF%BC%B2%EF%BD%85%EF%BD%81%EF%BD%83%EF%BD%94%EF%BC%89%E3%83%8D%E3%83%83%E3%83%88%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%B5%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%BA%80%E6%88%B8%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%93%EF%BC%8D%EF%BC%95%0A%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%EF%BC%89-%2013010-17000021/,東京都江東区亀戸２丁目２３－５,月給,250000円-500000円,正社員,ハローワーク飯田橋,2月10日,,03-3262-4890
一般事務／事務センター,シャープファイナンス　株式会社,https://www.hellowork.careers/%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%97%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%B3%E3%82%B9%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%EF%BC%8F%E4%BA%8B%E5%8B%99%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%95%E4%B8%81%E7%9B%AE%EF%BC%91%E7%95%AA%E5%9C%B0%EF%BC%91%EF%BC%89-%2013010-16999321/,東京都千代田区麹町５丁目１番地１,月給,182000円,正社員,ハローワーク飯田橋,2月10日,,090-8539-7627
不動産事務職全般,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E4%B8%8D%E5%8B%95%E7%94%A3%E4%BA%8B%E5%8B%99%E8%81%B7%E5%85%A8%E8%88%AC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%EF%BC%89-%2013010-16995821/,東京都中央区,月給,200000円-350000円,正社員,ハローワーク飯田橋,2月10日,,
（ＰＨＰ）広告配信システム開発（ＳＥ）,フィット産業株式会社,https://www.hellowork.careers/%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%E7%94%A3%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%EF%BC%88%EF%BC%B0%EF%BC%A8%EF%BC%B0%EF%BC%89%E5%BA%83%E5%91%8A%E9%85%8D%E4%BF%A1%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E9%96%8B%E7%99%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E4%BA%80%E6%88%B8%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%93%EF%BC%8D%EF%BC%95%E3%80%80%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%EF%BC%89-%2013010-16998421/,東京都江東区亀戸２丁目２３－５　レジデンス１１番館ビル,月給,250000円-500000円,正社員,ハローワーク飯田橋,2月10日,,03-3262-4890
マンション共用部清掃／目黒区,東京シティサービス株式会社,https://www.hellowork.careers/%E6%9D%B1%E4%BA%AC%E3%82%B7%E3%83%86%E3%82%A3%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E5%85%B1%E7%94%A8%E9%83%A8%E6%B8%85%E6%8E%83%EF%BC%8F%E7%9B%AE%E9%BB%92%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%9B%AE%E9%BB%92%E5%8C%BA%E6%9D%B1%E5%B1%B1%EF%BC%92%EF%BC%8D%EF%BC%96%EF%BC%8D%EF%BC%99%0A%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%82%B7%E3%83%86%EF%BC%89-%2013010-16993021/,東京都目黒区東山２－６－９,時給,1200円,パート労働者,ハローワーク飯田橋,2月10日,,03-3551-6971
高速道路パトロール・法令違反車両等取締業,株式会社　ネクスコ・パトロール関東,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%8D%E3%82%AF%E3%82%B9%E3%82%B3%E3%83%BB%E3%83%91%E3%83%88%E3%83%AD%E3%83%BC%E3%83%AB%E9%96%A2%E6%9D%B1%E3%81%A7%E3%81%AE%E9%AB%98%E9%80%9F%E9%81%93%E8%B7%AF%E3%83%91%E3%83%88%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%BB%E6%B3%95%E4%BB%A4%E9%81%95%E5%8F%8D%E8%BB%8A%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E5%9F%BC%E7%8E%89%E7%9C%8C%E4%B8%89%E9%83%B7%E5%B8%82%E7%95%AA%E5%8C%A0%E5%85%8D%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%91%EF%BC%8D%EF%BC%91%E6%9D%B1%E4%BA%AC%E5%A4%96%E7%92%B0%EF%BC%89-%2013010-16992121/,埼玉県三郷市番匠免２－１０１－１東京外環道外環三郷西インター,月給,190100円-208100円,正社員,ハローワーク飯田橋,2月10日,,03-3816-7116
機械設計補佐（物流倉庫の自動搬送設備）／,テクノ・ソニック　株式会社,https://www.hellowork.careers/%E3%83%86%E3%82%AF%E3%83%8E%E3%83%BB%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E6%A9%9F%E6%A2%B0%E8%A8%AD%E8%A8%88%E8%A3%9C%E4%BD%90%EF%BC%88%E7%89%A9%E6%B5%81%E5%80%89%E5%BA%AB%E3%81%AE%E8%87%AA%E5%8B%95%E6%90%AC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%93%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%92%E3%80%80%E3%83%93%E3%83%A5%E3%83%AC%E3%83%83%E3%82%AF%EF%BC%89-%2013010-17101421/,東京都千代田区麹町３－５－２　ビュレックス麹町４Ｆ,月給,256000円-490000円,正社員,ハローワーク飯田橋,2月10日,,03-3261-1009
メディカル・ファーマ品のロジスティクス総,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E3%83%A1%E3%83%87%E3%82%A3%E3%82%AB%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A1%E3%83%BC%E3%83%9E%E5%93%81%E3%81%AE%E3%83%AD%E3%82%B8%E3%82%B9%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%EF%BC%89-%2013010-17100521/,東京都中央区,月給,247500円-267500円,正社員,ハローワーク飯田橋,2月10日,,
一般事務,株式会社　新鮮組本部,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E6%96%B0%E9%AE%AE%E7%B5%84%E6%9C%AC%E9%83%A8%E3%81%A7%E3%81%AE%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%85%AB%E4%B8%81%E5%A0%80%EF%BC%92%EF%BC%8D%EF%BC%96%EF%BC%8D%EF%BC%91%E3%80%80%E6%97%A5%E6%9C%AC%E7%94%9F%E5%91%BD%E6%9D%B1%EF%BC%89-%2013010-17098321/,東京都中央区八丁堀２－６－１　日本生命東八重洲ビル６Ｆ,時給,1200円,パート労働者,ハローワーク飯田橋,2月10日,,03-3555-8866
電気・計装関係のＣＡＤオペレーター（ユニ,テクノ・ソニック　株式会社,https://www.hellowork.careers/%E3%83%86%E3%82%AF%E3%83%8E%E3%83%BB%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E9%9B%BB%E6%B0%97%E3%83%BB%E8%A8%88%E8%A3%85%E9%96%A2%E4%BF%82%E3%81%AE%EF%BC%A3%EF%BC%A1%EF%BC%A4%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%BC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E9%BA%B9%E7%94%BA%EF%BC%93%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%92%E3%80%80%E3%83%93%E3%83%A5%E3%83%AC%E3%83%83%E3%82%AF%EF%BC%89-%2013010-17096521/,東京都千代田区麹町３－５－２　ビュレックス麹町４Ｆ,月給,243000円-461000円,正社員,ハローワーク飯田橋,2月10日,,03-3261-1009
エレベーター・エスカレータの修理、改修工,菱光サービス株式会社,https://www.hellowork.careers/%E8%8F%B1%E5%85%89%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%82%A8%E3%83%AC%E3%83%99%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A8%E3%82%B9%E3%82%AB%E3%83%AC%E3%83%BC%E3%82%BF%E3%81%AE%E4%BF%AE%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A7%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%93%EF%BC%8D%EF%BC%92%E7%99%BB%E6%A0%84%E6%9D%B1%E9%8A%80%E5%BA%A7%EF%BC%89-%2013010-17095221/,東京都中央区銀座３丁目１３－２登栄東銀座ビル２階,月給,220000円-400000円,正社員,ハローワーク飯田橋,2月10日,,03-6264-0272
事務／不動産業,東京管財株式会社,https://www.hellowork.careers/%E6%9D%B1%E4%BA%AC%E7%AE%A1%E8%B2%A1%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E4%BA%8B%E5%8B%99%EF%BC%8F%E4%B8%8D%E5%8B%95%E7%94%A3%E6%A5%AD%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E6%B9%AF%E5%B3%B6%EF%BC%92%EF%BC%8D%EF%BC%93%EF%BC%91%EF%BC%8D%EF%BC%96%E3%80%80%E6%B9%AF%E5%B3%B6%E5%A0%80%E4%BA%95%E3%83%93%EF%BC%89-%2013010-17093721/,東京都文京区湯島２－３１－６　湯島堀井ビル２Ｆ,月給,220000円-250000円,正社員,ハローワーク飯田橋,2月10日,,03-6801-5356
建築現場管理,株式会社　トータル・オフィス・ム力イ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%88%E3%83%BC%E3%82%BF%E3%83%AB%E3%83%BB%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%83%BB%E3%83%A0%E5%8A%9B%E3%82%A4%E3%81%A7%E3%81%AE%E5%BB%BA%E7%AF%89%E7%8F%BE%E5%A0%B4%E7%AE%A1%E7%90%86%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E9%A0%88%E7%94%B0%E7%94%BA%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%98%E7%95%AA%E5%9C%B0%EF%BC%91%EF%BC%89-%2013010-17090921/,東京都千代田区神田須田町２丁目８番地１,月給,200000円-400000円,正社員,ハローワーク飯田橋,2月10日,,03-3257-1507
交通誘導警備員／直行直帰（大田区、世田谷,株式会社　第一警備東京,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E7%AC%AC%E4%B8%80%E8%AD%A6%E5%82%99%E6%9D%B1%E4%BA%AC%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AA%98%E5%B0%8E%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%8F%E7%9B%B4%E8%A1%8C%E7%9B%B4%E5%B8%B0%EF%BC%88%E5%A4%A7%E7%94%B0%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E7%94%B0%E5%9C%92%E8%AA%BF%E5%B8%83%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%98%0A%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%EF%BC%89-%2013010-17084021/,東京都大田区田園調布３丁目３８,時給,1062円-1142円,パート労働者,ハローワーク飯田橋,2月10日,,03-6661-6124
経理・庶務業務／トライアル併用,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E7%B5%8C%E7%90%86%E3%83%BB%E5%BA%B6%E5%8B%99%E6%A5%AD%E5%8B%99%EF%BC%8F%E3%83%88%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%AB%E4%BD%B5%E7%94%A8%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%EF%BC%89-%2013010-17085721/,東京都中央区,時給,1200円-1500円,パート労働者,ハローワーク飯田橋,2月10日,,
夜間分譲マンション管理員（中央区月島）,株式会社　ライフポート西洋,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%A9%E3%82%A4%E3%83%95%E3%83%9D%E3%83%BC%E3%83%88%E8%A5%BF%E6%B4%8B%E3%81%A7%E3%81%AE%E5%A4%9C%E9%96%93%E5%88%86%E8%AD%B2%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E7%AE%A1%E7%90%86%E5%93%A1%EF%BC%88%E4%B8%AD%E5%A4%AE%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%88%E5%B3%B6%EF%BC%91%EF%BC%8D%EF%BC%98%EF%BC%8D%EF%BC%91%EF%BC%89-%2013010-17083121/,東京都中央区月島１－８－１,時給,1200円,パート労働者,ハローワーク飯田橋,2月10日,,03-3221-9525
分譲マンション管理員／管理人／豊島園,株式会社　ライフポート西洋,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%A9%E3%82%A4%E3%83%95%E3%83%9D%E3%83%BC%E3%83%88%E8%A5%BF%E6%B4%8B%E3%81%A7%E3%81%AE%E5%88%86%E8%AD%B2%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E7%AE%A1%E7%90%86%E5%93%A1%EF%BC%8F%E7%AE%A1%E7%90%86%E4%BA%BA%EF%BC%8F%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%B7%B4%E9%A6%AC%E5%8C%BA%E7%B7%B4%E9%A6%AC%EF%BC%94%E4%B8%81%E7%9B%AE%0A%E8%A9%B3%E7%B4%B0%E3%81%AA%E4%BD%8F%E6%89%80%E3%80%81%E3%83%9E%E3%83%B3%EF%BC%89-%2013010-17080321/,東京都練馬区練馬４丁目,時給,1050円,パート労働者,ハローワーク飯田橋,2月10日,,03-3221-9525
店舗スタッフ／杉並区,株式会社　さわやか,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%81%95%E3%82%8F%E3%82%84%E3%81%8B%E3%81%A7%E3%81%AE%E5%BA%97%E8%88%97%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%8F%E6%9D%89%E4%B8%A6%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%9D%89%E4%B8%A6%E5%8C%BA%E9%AB%98%E5%86%86%E5%AF%BA%E5%8C%97%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%94%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%95%E3%80%80%E3%83%89%EF%BC%89-%2013010-17079521/,東京都杉並区高円寺北３丁目４３－１５　ドルピテム飯田ビル１Ｆ,月給,176000円-187000円,正社員,ハローワーク飯田橋,2月10日,,03-5566-5611
交通誘導警備員／直行直帰（川崎市中原区・,株式会社　第一警備東京,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E7%AC%AC%E4%B8%80%E8%AD%A6%E5%82%99%E6%9D%B1%E4%BA%AC%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AA%98%E5%B0%8E%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%8F%E7%9B%B4%E8%A1%8C%E7%9B%B4%E5%B8%B0%EF%BC%88%E5%B7%9D%E5%B4%8E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E4%B8%AD%E5%8E%9F%E5%8C%BA%E6%96%B0%E5%9F%8E%EF%BC%95%EF%BC%8D%EF%BC%92%E4%BB%98%E8%BF%91%0A%E7%A5%9E%E5%A5%88%EF%BC%89-%2013010-17082921/,神奈川県川崎市中原区新城５－２付近,時給,1062円-1250円,パート労働者,ハローワーク飯田橋,2月10日,,03-6661-6124
建築設計／プロジェクトリーダー,株式会社ＬＤＫ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%AC%EF%BC%A4%EF%BC%AB%E3%81%A7%E3%81%AE%E5%BB%BA%E7%AF%89%E8%A8%AD%E8%A8%88%EF%BC%8F%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E7%AF%89%E5%9C%B0%EF%BC%91%EF%BC%8D%EF%BC%95%EF%BC%8D%EF%BC%98%0A%E6%A8%8B%E6%B3%89%E3%83%93%E3%83%AB%EF%BC%97%EF%BC%A6%EF%BC%89-%2013010-17025121/,東京都中央区築地１－５－８,月給,400000円-800000円,正社員,ハローワーク飯田橋,2月10日,,03-6228-4933
交通誘導警備員／直行直帰（江戸川区・葛飾,株式会社　第一警備東京,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E7%AC%AC%E4%B8%80%E8%AD%A6%E5%82%99%E6%9D%B1%E4%BA%AC%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AA%98%E5%B0%8E%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%8F%E7%9B%B4%E8%A1%8C%E7%9B%B4%E5%B8%B0%EF%BC%88%E6%B1%9F%E6%88%B8%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E7%AF%A0%E5%B4%8E%E7%94%BA%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%91%0A%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%91%9B%E9%A3%BE%EF%BC%89-%2013010-17077821/,東京都江戸川区篠崎町１丁目１,時給,1062円-1142円,パート労働者,ハローワーク飯田橋,2月10日,,03-6661-6124
マンション清掃／墨田区,株式会社　清和コミュニティー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E6%B8%85%E5%92%8C%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%83%BC%E3%81%A7%E3%81%AE%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E6%B8%85%E6%8E%83%EF%BC%8F%E5%A2%A8%E7%94%B0%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%AB%8B%E8%8A%B1%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%98%EF%BC%8D%EF%BC%99%0A%E3%82%B3%E3%82%B9%E3%83%A2%E5%B9%B3%E4%BA%95%EF%BC%89-%2013010-17022321/,東京都墨田区立花４－１８－９,時給,1050円,パート労働者,ハローワーク飯田橋,2月10日,,03-3541-2231
マンション通勤管理員／江東区大島,株式会社　東京建物アメニティサポート,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E6%9D%B1%E4%BA%AC%E5%BB%BA%E7%89%A9%E3%82%A2%E3%83%A1%E3%83%8B%E3%83%86%E3%82%A3%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%81%A7%E3%81%AE%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E9%80%9A%E5%8B%A4%E7%AE%A1%E7%90%86%E5%93%A1%EF%BC%8F%E6%B1%9F%E6%9D%B1%E5%8C%BA%E5%A4%A7%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E5%A4%A7%E5%B3%B6%EF%BC%97%EF%BC%8D%EF%BC%92%EF%BC%97%EF%BC%8D%EF%BC%92%EF%BC%90%0A%E3%80%8C%EF%BC%A2%EF%BD%92%EF%BD%89%EF%BC%89-%2013010-17021421/,東京都江東区大島７－２７－２０,月給,179000円,正社員,ハローワーク飯田橋,2月10日,,03-6777-6692
